radius,Hnuc [erg/g/s],h [erg/g],tfromp,p0,rho,X(h1),X(he4),X(o16),X(o20),X(f20),X(ne20),X(mg24),X(al27),X(si28),X(p31),X(s32)
85546875.0,310928.7641591548,8.255268651909004e+17,187002015.1574685,3.858709228586619e+25,154976329.7197076,9.999999981552769e-11,9.999999991127602e-11,0.599999999459985,9.999980300589552e-11,9.999959239574281e-11,0.3999999996400157,9.999999991275259e-11,9.999999749236687e-11,1.0000000241971968e-10,9.999999975708897e-11,1.0000000006128496e-10
87890625.0,510091.0655627574,7.719459791141276e+17,184845732.4686952,3.0888382884717483e+25,131633872.73704477,9.999999985140019e-11,9.999999991073702e-11,0.5999999994599973,9.999974834012872e-11,9.999962130881527e-11,0.3999999996400035,9.999999991165474e-11,9.999999840665656e-11,1.0000000147028824e-10,9.999999981944345e-11,9.999999999982878e-11
90234375.0,1042008.5317121933,7.217318214866222e+17,183328859.8614194,2.4752470872043857e+25,111935842.76442206,9.99999998722179e-11,9.999999991044752e-11,0.5999999994600005,9.999970220832559e-11,9.999964571015286e-11,0.3999999996400002,9.999999991105067e-11,9.999999893885287e-11,1.0000000091778834e-10,9.999999985373905e-11,9.999999996591211e-11
92578125.0,1042008.5317121935,6.736522111751949e+17,182527063.6497657,1.976394514255774e+25,94964146.95532928,9.999999988467955e-11,9.999999991028935e-11,0.5999999994600005,9.999966246212203e-11,9.999966673646915e-11,0.39999999964000027,9.999999991069956e-11,9.999999925824326e-11,1.0000000058628666e-10,9.999999987334631e-11,9.999999994646299e-11
94921875.0,1948928.8540464372,6.268845130892387e+17,182601156.878705,1.5652726394066318e+25,80123718.98881103,9.999999989229628e-11,9.999999991019997e-11,0.5999999994600006,9.999962770972936e-11,9.999968512456489e-11,0.39999999964,9.999999991048921e-11,9.999999945386102e-11,1.0000000038329174e-10,9.999999988485215e-11,9.999999993501602e-11
97265625.0,2084017.063424387,5.825024954625706e+17,183781390.77767107,1.2361829548582519e+25,67492915.79803634,9.999999989677027e-11,9.99999999101528e-11,0.5999999994600004,9.999959813653385e-11,9.999970077695422e-11,0.3999999996400004,9.999999991037096e-11,9.999999956907723e-11,1.0000000026375634e-10,9.999999989132256e-11,9.999999992855357e-11
99609375.0,2084017.0634243868,5.400352160331497e+17,186344383.14222535,9.711316130672436e+24,56661925.961403795,9.999999989930494e-11,9.999999991013222e-11,0.5999999994600004,9.99995727849692e-11,9.999971420113078e-11,0.39999999964000044,9.999999991031071e-11,9.999999963455562e-11,1.0000000019584733e-10,9.999999989471471e-11,9.999999992513757e-11
101953125.0,2084017.0634243868,4.9880243236663354e+17,190750582.52815682,7.555044424230642e+24,47258480.198366724,9.99999999004638e-11,9.999999991013314e-11,0.5999999994600006,9.999955078633579e-11,9.999972585833718e-11,0.39999999964000016,9.999999991029528e-11,9.999999966541488e-11,1.0000000016388653e-10,9.999999989581757e-11,9.999999992397236e-11
104296875.0,2545291.459265576,4.59267894729092e+17,197499840.9272812,5.830787025541467e+24,39212910.922736056,9.999999990044375e-11,9.999999991016276e-11,0.5999999994600005,9.99995319806539e-11,9.999973583482501e-11,0.39999999964000027,9.999999991033423e-11,9.999999966595776e-11,1.0000000016344319e-10,9.999999989451381e-11,9.999999992513195e-11
106640625.0,2072853.3453141386,4.216485122832955e+17,207220637.6583291,4.469396942237732e+24,32395670.636822175,9.999999989902415e-11,9.999999991024876e-11,0.5999999994600002,9.999951606468602e-11,9.999974429073608e-11,0.3999999996400005,9.999999991047324e-11,9.999999963170805e-11,1.000000001992502e-10,9.999999988926253e-11,9.999999993004931e-11
108984375.0,1563012.79756829,3.8559662784350035e+17,220802532.09049258,3.390698968583302e+24,26583152.922262944,9.99999998953002e-11,9.999999991048183e-11,0.5999999994600004,9.999950252335788e-11,9.999975149982498e-11,0.3999999996400003,9.999999991089656e-11,9.999999954362095e-11,1.0000000029136091e-10,9.999999987494795e-11,9.999999994344904e-11
111328125.0,1563012.79756829,3.511904438648295e+17,239146325.3587133,2.544780807778661e+24,21658197.590077154,9.999999988705568e-11,9.999999991108913e-11,0.5999999994600004,9.999949113783855e-11,9.999975755008242e-11,0.3999999996400006,9.999999991263068e-11,9.999999935526171e-11,1.0000000048887124e-10,9.999999983559602e-11,9.999999997997333e-11
113671875.0,1563012.79756829,3.1845137208626266e+17,262837023.9132928,1.8867060065627417e+24,17501930.800221868,9.999999986935368e-11,9.999999991181147e-11,0.5999999994600005,9.999948156197451e-11,9.999976266239354e-11,0.3999999996400003,9.999999992546399e-11,9.999999897393393e-11,1.0000000089062386e-10,9.999999972475466e-11,1.0000000008141898e-10
116015625.0,1563012.79756829,2.8698788079191728e+17,291952483.64411366,1.373820316416323e+24,13968834.085834004,9.999999983246964e-11,9.99999998931906e-11,0.5999999994600006,9.99994734085174e-11,9.999976706095153e-11,0.39999999964,1.000000000720138e-10,9.999999824063413e-11,1.0000000166776157e-10,9.999999942319904e-11,1.0000000035195359e-10
118359375.0,1673515.214214215,2.56890792767622e+17,324842625.8738848,9.798015405294579e+23,10990426.706657775,9.999999976237305e-11,9.999999960133242e-11,0.5999999994600004,9.999946655877219e-11,9.999977076902253e-11,0.3999999996400005,1.000000015425936e-10,9.999999695088372e-11,1.0000000303635976e-10,9.99999987310543e-11,1.000000009564849e-10
120703125.0,1893285.781483339,2.2864627721417293e+17,357516141.2390518,6.8644201767165e+23,8541467.334449895,9.999999960231332e-11,9.99999975574207e-11,0.5999999994600003,9.999946094030196e-11,9.999977381716514e-11,0.3999999996400005,1.000000102886327e-10,9.999999389187865e-11,1.0000000620689222e-10,9.999999728137945e-11,1.000000021854089e-10
123046875.0,1932443.944452611,2.019570138769237e+17,387902257.1949429,4.6911798943180765e+23,6523632.938390323,9.999999938632631e-11,9.999998902610407e-11,0.5999999994600004,9.999945631837042e-11,9.999977633311302e-11,0.39999999964000027,1.0000004140246109e-10,9.999999046078993e-11,1.0000000979630531e-10,9.999999452525259e-11,1.0000000445536428e-10
125390625.0,2253701.9390013916,1.765194957088414e+17,413446047.6017074,3.096017508938681e+23,4861019.412951986,9.999999926506877e-11,9.999996798903652e-11,0.5999999994600002,9.999945254883183e-11,9.999977836347449e-11,0.39999999964000044,1.0000010240710717e-10,9.999998891049769e-11,1.0000001136855928e-10,9.999999254622554e-11,1.0000000598671683e-10
127734375.0,2286983.7864094866,1.523565905529588e+17,425422327.39078724,1.965873371918362e+23,3528902.358927041,9.999999937610912e-11,9.99999571212205e-11,0.59999999946,9.999946416740979e-11,9.999978580851063e-11,0.39999999964000055,1.0000013462515758e-10,9.999999101676425e-11,1.0000000914128042e-10,9.99999935701525e-11,1.0000000508197247e-10
130078125.0,0.0,1.2932128798356373e+17,422036238.2194692,1.1887876182792021e+23,2479458.620216567,9.99999999100001e-11,9.999999990999995e-11,0.5999999994600006,9.99999999099974e-11,9.999999990999924e-11,0.39999999963999955,9.999999991000071e-11,9.999999991000009e-11,9.999999991000012e-11,9.99999999100001e-11,9.999999991000012e-11
132421875.0,0.0,1.0732785775611909e+17,404869197.01192766,6.717909503342561e+22,1664288.6768888112,9.999999991000012e-11,9.999999991000012e-11,0.5999999994600002,9.999999991000012e-11,9.999999991000012e-11,0.3999999996399998,9.999999991000012e-11,9.999999991000012e-11,9.999999991000012e-11,9.999999991000012e-11,9.999999991000012e-11
134765625.0,0.0,8.657618359708664e+16,375972550.9439407,3.4728849360477185e+22,1050216.867665167,9.999999991000008e-11,9.999999991000008e-11,0.5999999994600003,9.999999991000008e-11,9.999999991000008e-11,0.39999999963999955,9.999999991000008e-11,9.999999991000008e-11,9.999999991000008e-11,9.999999991000008e-11,9.999999991000008e-11
137109375.0,0.0,6.713749572563555e+16,336657091.76067394,1.572662491033549e+22,602619.4226835595,9.999999991000009e-11,9.999999991000009e-11,0.5999999994600005,9.999999991000009e-11,9.999999991000009e-11,0.3999999996399996,9.999999991000009e-11,9.999999991000009e-11,9.999999991000009e-11,9.999999991000009e-11,9.999999991000009e-11
139453125.0,0.0,4.903885226545059e+16,286212388.7619771,5.729062655247137e+21,293942.8456592162,9.999999991000012e-11,9.999999991000012e-11,0.5999999994600002,9.999999991000012e-11,9.999999991000012e-11,0.3999999996399998,9.999999991000012e-11,9.999999991000012e-11,9.999999991000012e-11,9.999999991000012e-11,9.999999991000012e-11
141796875.0,0.0,3.4221887978358224e+16,230128022.18335244,1.6348557002572597e+21,119561.48001836153,9.999999991000008e-11,9.999999991000008e-11,0.5999999994599999,9.999999991000008e-11,9.999999991000008e-11,0.3999999996399998,9.999999991000008e-11,9.999999991000008e-11,9.999999991000008e-11,9.999999991000008e-11,9.999999991000008e-11
144140625.0,0.0,3.184215443299313e+16,219598853.06046706,1.2237384770650196e+21,97741.2340387056,9.999999991000005e-11,9.999999991000005e-11,0.5999999994599996,9.999999991000005e-11,9.999999991000005e-11,0.3999999996400001,9.999999991000005e-11,9.999999991000005e-11,9.999999991000005e-11,9.999999991000005e-11,9.999999991000005e-11
146484375.0,0.0,3.1842154441316444e+16,219598853.14777288,1.2237384770650196e+21,97741.2340148339,9.999999991000005e-11,9.999999991000005e-11,0.5999999994599996,9.999999991000005e-11,9.999999991000005e-11,0.3999999996400001,9.999999991000005e-11,9.999999991000005e-11,9.999999991000005e-11,9.999999991000005e-11,9.999999991000005e-11
148828125.0,0.0,3.1842154441322376e+16,219598853.1478187,1.2237384770650196e+21,97741.23401481207,9.999999991000005e-11,9.999999991000005e-11,0.5999999994599996,9.999999991000005e-11,9.999999991000005e-11,0.3999999996400001,9.999999991000005e-11,9.999999991000005e-11,9.999999991000005e-11,9.999999991000005e-11,9.999999991000005e-11
