,radius,density,temperature,pressure,ne20,o16,o20,mg24,f29,he4,al27,si28,s32,p31,h1,enuc
61,960937.5,8339272709.506515,661745011.4682842,7.358401350016224e+27,0.00808508144104911,0.599994099206718,0.3919168924496698,6.918265447960979e-16,2.22239031060655e-09,1.061239475531378e-22,1e-30,3.924680172220467e-06,1e-30,1e-30,1e-30,-17719933.36442372
62,976562.5,8338965275.603889,661917372.7949965,7.35810693328481e+27,0.008112482929161283,0.5999940766021558,0.3918894990936823,6.994848738923007e-16,2.229350163443791e-09,1.067380840957556e-22,1e-30,3.939145649901836e-06,1e-30,1e-30,1e-30,-17771481.90792287
63,992187.5,8338652772.437394,662092450.2619995,7.357807785644656e+27,0.008140399314284744,0.5999940535445069,0.3918615910040282,7.073472671748544e-16,2.236438604550689e-09,1.07365387326873e-22,9.999999999999999e-31,3.953900740900195e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-17823957.7036737
64,1007812.5,8338335105.641572,662270473.5341765,7.357503907956701e+27,0.008168877612551294,0.5999940299906623,0.3918331211801752,7.154361164040298e-16,2.243667257952377e-09,1.080071672661378e-22,1e-30,3.968972943420667e-06,1e-30,1e-30,1e-30,-17877460.50856871
65,1023437.5,8338012441.85198,662451007.0687584,7.357195301094094e+27,0.008197836895846376,0.5999940060106118,0.3918041705250411,7.237223857492259e-16,2.251015782412442e-09,1.086614557193852e-22,1e-30,3.984317484077197e-06,1e-30,1e-30,1e-30,-17931809.480101906
66,1039062.5,8337684708.417962,662634560.3829926,7.356881965942202e+27,0.008227304439151943,0.5999939814968547,0.3917747118048214,7.322453831581546e-16,2.258488941289688e-09,1.093310275668955e-22,9.999999999999999e-31,4.000000682191081e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-17987060.94624587
67,1054687.5,8337351875.210095,662820625.3506505,7.356563903401834e+27,0.008257311399621492,0.5999939565422535,0.3917447138270402,7.409794444418488e-16,2.266097733781001e-09,1.100134498122208e-22,1e-30,4.015964986219166e-06,1e-30,1e-30,1e-30,-18043279.93534343
68,1070312.5,8337030828.220231,662958649.136893,7.356241114059991e+27,0.008279783331815274,0.5999939379553136,0.3917222485822322,7.475511136730078e-16,2.271796728567785e-09,1.105229360700386e-22,1e-30,4.027858841495859e-06,1e-30,1e-30,1e-30,-18082558.933344077
69,1085937.5,8336694653.629121,663129450.621493,7.355913598674334e+27,0.00830758342620515,0.5999939148558798,0.3916944568017284,7.557540145424619e-16,2.27884310885782e-09,1.111565780359127e-22,1e-30,4.04263734263758e-06,1e-30,1e-30,1e-30,-18133426.32923812
70,1101562.5,8336346135.275096,663324662.488186,7.355581358507546e+27,0.008339382618038078,0.59999388835544,0.3916626671501342,7.652051331724491e-16,2.286899879864905e-09,1.118840239886865e-22,1e-30,4.059589487070465e-06,1e-30,1e-30,1e-30,-18192921.674351804
71,1117187.5,8335992479.15327,663522633.7404062,7.355244394661056e+27,0.008371737772311738,0.5999938613359322,0.3916303217248149,7.749087789701424e-16,2.295094142466787e-09,1.126265517905634e-22,1e-30,4.076871846242574e-06,1e-30,1e-30,1e-30,-18253403.731916703
72,1132812.5,8335633325.946743,663723817.7352488,7.354902708116912e+27,0.008404838222534447,0.5999938337153984,0.3915972312195986,7.849238429601528e-16,2.303475080638217e-09,1.133869407821409e-22,1e-30,4.094538992759603e-06,1e-30,1e-30,1e-30,-18315280.72975818
73,1148437.5,8335266302.925357,663935764.5605124,7.354556299929004e+27,0.008439807337894907,0.5999938044709603,0.3915622726352369,7.955957561322155e-16,2.312325560704601e-09,1.14192852536202e-22,1e-30,4.113243581567554e-06,1e-30,1e-30,1e-30,-18381038.780762274
74,1164062.5,8334895228.896693,664147167.6625074,7.354205171141533e+27,0.008474815746007362,0.5999937751385609,0.3915272747903917,8.063781858774458e-16,2.321182393681626e-09,1.150021101335929e-22,1e-30,4.132003856891562e-06,1e-30,1e-30,1e-30,-18446626.109622087
75,1179687.5,8334520816.213045,664355954.1868281,7.353849322714806e+27,0.008509521483806955,0.5999937460015837,0.3914925795460896,8.171687721998795e-16,2.329958979107351e-09,1.158068820897751e-22,1e-30,4.15063855998849e-06,1e-30,1e-30,1e-30,-18511284.925016828
76,1195312.5,8334141275.421605,664567442.0735631,7.353488755640986e+27,0.008544782104565407,0.5999937163166613,0.3914573296176262,8.282399337666383e-16,2.33887166082522e-09,1.1662763358352e-22,1e-30,4.169622274638764e-06,1e-30,1e-30,1e-30,-18576906.66401791
77,1210937.5,8333760326.030047,664770916.9710517,7.353123470882722e+27,0.00857880712227347,0.5999936875877683,0.391423314949378,8.390311717104296e-16,2.347467816864539e-09,1.174227798515014e-22,1e-30,4.187993111617573e-06,1e-30,1e-30,1e-30,-18639540.045059446
78,1226562.5,8333375710.037051,664972943.227162,7.352753469375144e+27,0.008612682429764987,0.5999936589110241,0.3913894499739668,8.498735646870101e-16,2.356022407892215e-09,1.182172707194974e-22,1e-30,4.206329220963449e-06,1e-30,1e-30,1e-30,-18701581.615250874
79,1242187.5,8332980708.497098,665192744.1834689,7.352378752261349e+27,0.008649647776804967,0.5999936275436907,0.3913524959299113,8.618140683472873e-16,2.365353367598991e-09,1.190872485912951e-22,1e-30,4.226384238807619e-06,1e-30,1e-30,1e-30,-18770161.403733585
80,1257812.5,8332580406.348027,665415308.4271158,7.351999320748674e+27,0.008687265236051754,0.599993595595322,0.3913148899824906,8.740766472073684e-16,2.374845830170624e-09,1.199745363885487e-22,1e-30,4.246811288944795e-06,1e-30,1e-30,1e-30,-18839897.921527468
81,1273437.5,8332153164.045734,665702617.9826239,7.351615176443866e+27,0.00873596776798555,0.5999935540431497,0.391266202427128,8.901651064788846e-16,2.387127318168905e-09,1.211300400999226e-22,1e-30,4.27337460848041e-06,1e-30,1e-30,1e-30,-18933719.7473304
82,1289062.5,8331762643.556567,665872815.4847534,7.351226320044259e+27,0.008765052053274129,0.5999935292785733,0.3912371270645662,8.99852702202332e-16,2.394460492699568e-09,1.218199878344264e-22,1e-30,4.289209124899266e-06,1e-30,1e-30,1e-30,-18984127.442145362
83,1304687.5,8331356344.995313,666076164.0592008,7.350832751906299e+27,0.00879983016305761,0.5999934995271644,0.3912023596779838,9.1155862650749e-16,2.40322390601982e-09,1.226495557356193e-22,1e-30,4.30822856938156e-06,1e-30,1e-30,1e-30,-19046774.21204536
84,1320312.5,8330935234.760489,666309879.1266706,7.350434473626873e+27,0.00883983835723089,0.5999934651586273,0.3911623638747819,9.251539505875601e-16,2.413299590864489e-09,1.236085817169093e-22,1e-30,4.330196059522675e-06,1e-30,1e-30,1e-30,-19120619.7838979
85,1335937.5,8330509019.744083,666546175.3691769,7.350031486590642e+27,0.00888039706220671,0.5999934301947334,0.3911218177778309,9.39086675865391e-16,2.423508153169811e-09,1.245852981291074e-22,1e-30,4.352541720062432e-06,1e-30,1e-30,1e-30,-19195376.086126026
86,1351562.5,8330077527.963667,666785346.4055371,7.349623791972616e+27,0.008921595280613296,0.5999933945611406,0.3910806324108972,9.53406843216987e-16,2.433871709960665e-09,1.255820178976075e-22,1e-30,4.375313476166927e-06,1e-30,1e-30,1e-30,-19271229.46129064
87,1367187.5,8329640413.210792,667027465.7834004,7.34921139097328e+27,0.00896362563378471,0.5999933582556198,0.3910386151477367,9.681533821450595e-16,2.444442125516288e-09,1.265995488946145e-22,1e-30,4.39851841567713e-06,1e-30,1e-30,1e-30,-19348590.638457634
88,1382812.5,8329198211.920551,667272179.7513596,7.348794284805296e+27,0.009006197918370604,0.5999933213174183,0.3909960561848096,9.832676018192006e-16,2.45514193089285e-09,1.276358698775224e-22,9.999999999999999e-31,4.422124258331345e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-19426827.4566082
89,1398437.5,8328750850.329319,667519517.1219891,7.348372474681946e+27,0.009049353341732807,0.5999932837349095,0.3909529143180305,9.987668639022867e-16,2.465981788610156e-09,1.28691502556316e-22,1e-30,4.446139344484997e-06,1e-30,1e-30,1e-30,-19506023.25642134
90,1414062.5,8328298221.88757,667769504.3612366,7.347945961836044e+27,0.00909315156588956,0.5999932455004355,0.3909091298866116,1.014670550615893e-15,2.476977448261875e-09,1.297669448882962e-22,1e-30,4.470570085014834e-06,1e-30,1e-30,1e-30,-19586301.043721218
91,1429687.5,8327845834.970358,668007061.8579876,7.347514747375349e+27,0.009134916918153354,0.5999932089159787,0.3908673777337437,1.030015264712528e-15,2.487456551232699e-09,1.307972532499886e-22,1e-30,4.493944666625205e-06,1e-30,1e-30,1e-30,-19661816.747125845
92,1445312.5,8327393227.718487,668233789.4801902,7.34707883227397e+27,0.009174864661359548,0.5999931738089198,0.390827442658904,1.044830987957521e-15,2.497474585333882e-09,1.317867816465288e-22,1e-30,4.516373341213326e-06,1e-30,1e-30,1e-30,-19733053.99748816
93,1460937.5,8326924597.128367,668492508.2078047,7.346638217935415e+27,0.009220686254841702,0.599993133436621,0.3907816356342706,1.062043518795649e-15,2.508959033153313e-09,1.329265961895713e-22,1e-30,4.542165306628366e-06,1e-30,1e-30,1e-30,-19816760.014968716
